# Code generated by scripts/generate_iam_mappings.go; DO NOT EDIT.
# Source: https://servicereference.us-east-1.amazonaws.com/v1/service-list.json
# Services: 452
acm:ListTagsForResource	acm:ListTagsForResource
acm:PutAccountConfiguration	acm:PutAccountConfiguration
acm:RemoveTagsFromCertificate	acm:RemoveTagsFromCertificate
acm:RenewCertificate	acm:RenewCertificate
acm:RequestCertificate	acm:AddTagsToCertificate,acm:RequestCertificate
acm:ResendValidationEmail	acm:ResendValidationEmail
acm:RevokeCertificate	acm:RevokeCertificate
acm:SearchCertificates	acm:SearchCertificates
acm:TagResource	acm:TagResource
acm:UntagResource	acm:UntagResource
acm:UpdateCertificateOptions	acm:UpdateCertificateOptions
aco-automation:AssociateAccounts	aco-automation:AssociateAccounts
aco-automation:CreateAutomationRule	aco-automation:CreateAutomationRule,aco-automation:TagResource
aco-automation:DeleteAutomationRule	aco-automation:DeleteAutomationRule
aco-automation:DisassociateAccounts	aco-automation:DisassociateAccounts
aco-automation:GetAutomationEvent	aco-automation:GetAutomationEvent
aco-automation:GetAutomationRule	aco-automation:GetAutomationRule
aco-automation:GetEnrollmentConfiguration	aco-automation:GetEnrollmentConfiguration
aco-automation:ListAccounts	aco-automation:ListAccounts
aco-automation:ListAutomationEventSteps	aco-automation:ListAutomationEventSteps
aco-automation:ListAutomationEventSummaries	aco-automation:ListAutomationEventSummaries
aco-automation:ListAutomationEvents	aco-automation:ListAutomationEvents
aco-automation:ListAutomationRulePreview	aco-automation:ListAutomationRulePreview,ec2:DescribeVolumes
aco-automation:ListAutomationRulePreviewSummaries	aco-automation:ListAutomationRulePreviewSummaries
aco-automation:ListAutomationRules	aco-automation:ListAutomationRules
aco-automation:ListRecommendedActionSummaries	aco-automation:ListRecommendedActionSummaries
aco-automation:ListRecommendedActions	aco-automation:ListRecommendedActions,ec2:DescribeVolumes
aco-automation:ListTagsForResource	aco-automation:ListTagsForResource
aco-automation:RollbackAutomationEvent	aco-automation:RollbackAutomationEvent
aco-automation:StartAutomationEvent	aco-automation:StartAutomationEvent
aco-automation:TagResource	aco-automation:TagResource
aco-automation:UntagResource	aco-automation:UntagResource
aco-automation:UpdateAutomationRule	aco-automation:UpdateAutomationRule
aco-automation:UpdateEnrollmentConfiguration	aco-automation:UpdateEnrollmentConfiguration
aidevops:AssociateService	aidevops:AssociateService,iam:PassRole
aidevops:CreateAgentSpace	aidevops:CreateAgentSpace,aidevops:TagResource
aidevops:CreatePrivateConnection	aidevops:CreatePrivateConnection,aidevops:TagResource
aidevops:DeleteAgentSpace	aidevops:DeleteAgentSpace
aidevops:DeletePrivateConnection	aidevops:DeletePrivateConnection
aidevops:DeregisterService	aidevops:DeregisterService
aidevops:DescribePrivateConnection	aidevops:DescribePrivateConnection
aidevops:DisableOperatorApp	aidevops:DisableOperatorApp
aidevops:DisassociateService	aidevops:DisassociateService
aidevops:EnableOperatorApp	aidevops:EnableOperatorApp,iam:PassRole
aidevops:GetAgentSpace	aidevops:GetAgentSpace
aidevops:GetAssociation	aidevops:GetAssociation
aidevops:GetOperatorApp	aidevops:GetOperatorApp
aidevops:GetService	aidevops:GetService
aidevops:ListAgentSpaces	aidevops:ListAgentSpaces
aidevops:ListAssociations	aidevops:ListAssociations
aidevops:ListPrivateConnections	aidevops:ListPrivateConnections
aidevops:ListServices	aidevops:ListServices
aidevops:ListTagsForResource	aidevops:ListTagsForResource
aidevops:ListWebhooks	aidevops:ListWebhooks
aidevops:RegisterService	aidevops:RegisterService,aidevops:TagResource,iam:PassRole
aidevops:TagResource	aidevops:TagResource
aidevops:UntagResource	aidevops:UntagResource
aidevops:UpdateAgentSpace	aidevops:UpdateAgentSpace
aidevops:UpdateAssociation	aidevops:UpdateAssociation,iam:PassRole
aidevops:UpdateOperatorAppIdpConfig	aidevops:UpdateOperatorAppIdpConfig
aidevops:UpdatePrivateConnectionCertificate	aidevops:UpdatePrivateConnectionCertificate
aidevops:ValidateAwsAssociations	aidevops:ValidateAwsAssociations
aiops:CreateInvestigationGroup	aiops:CreateInvestigationGroup,aiops:TagResource,iam:PassRole
aiops:DeleteInvestigationGroup	aiops:DeleteInvestigationGroup
aiops:DeleteInvestigationGroupPolicy	aiops:DeleteInvestigationGroupPolicy
aiops:GetInvestigationGroup	aiops:GetInvestigationGroup
aiops:GetInvestigationGroupPolicy	aiops:GetInvestigationGroupPolicy
aiops:ListInvestigationGroups	aiops:ListInvestigationGroups
aiops:ListTagsForResource	aiops:ListTagsForResource
aiops:PutInvestigationGroupPolicy	aiops:PutInvestigationGroupPolicy
aiops:TagResource	aiops:TagResource
aiops:UntagResource	aiops:UntagResource
aiops:UpdateInvestigationGroup	aiops:UpdateInvestigationGroup,iam:PassRole
airflow-serverless:CreateWorkflow	airflow-serverless:CreateWorkflow,airflow-serverless:TagResource,iam:PassRole
airflow-serverless:DeleteWorkflow	airflow-serverless:DeleteWorkflow
airflow-serverless:GetTaskInstance	airflow-serverless:GetTaskInstance
airflow-serverless:GetWorkflow	airflow-serverless:GetWorkflow
airflow-serverless:GetWorkflowRun	airflow-serverless:GetWorkflowRun
airflow-serverless:ListTagsForResource	airflow-serverless:ListTagsForResource
airflow-serverless:ListTaskInstances	airflow-serverless:ListTaskInstances
airflow-serverless:ListWorkflowRuns	airflow-serverless:ListWorkflowRuns
airflow-serverless:ListWorkflowVersions	airflow-serverless:ListWorkflowVersions
airflow-serverless:ListWorkflows	airflow-serverless:ListWorkflows
airflow-serverless:StartWorkflowRun	airflow-serverless:StartWorkflowRun
airflow-serverless:StopWorkflowRun	airflow-serverless:StopWorkflowRun
airflow-serverless:TagResource	airflow-serverless:TagResource
airflow-serverless:UntagResource	airflow-serverless:UntagResource
airflow-serverless:UpdateWorkflow	airflow-serverless:UpdateWorkflow,iam:PassRole
airflow:CreateCliToken	airflow:CreateCliToken
airflow:CreateEnvironment	airflow:CreateEnvironment,airflow:TagResource,iam:PassRole
airflow:CreateWebLoginToken	airflow:CreateWebLoginToken
airflow:DeleteEnvironment	airflow:DeleteEnvironment
airflow:GetEnvironment	airflow:GetEnvironment
airflow:InvokeRestApi	airflow:InvokeRestApi
airflow:ListEnvironments	airflow:ListEnvironments
airflow:ListTagsForResource	airflow:ListTagsForResource
airflow:PublishMetrics	airflow:PublishMetrics
airflow:TagResource	airflow:TagResource
airflow:UntagResource	airflow:UntagResource
airflow:UpdateEnvironment	airflow:UpdateEnvironment,iam:PassRole
amp:CreateAlertManagerDefinition	aps:CreateAlertManagerDefinition
amp:CreateAnomalyDetector	aps:CreateAnomalyDetector,aps:TagResource
amp:CreateLoggingConfiguration	aps:CreateLoggingConfiguration
amp:CreateQueryLoggingConfiguration	aps:CreateQueryLoggingConfiguration
amp:CreateRuleGroupsNamespace	aps:CreateRuleGroupsNamespace,aps:TagResource
amp:CreateScraper	aps:CreateScraper,aps:TagResource,iam:PassRole
amp:CreateWorkspace	aps:CreateWorkspace,aps:TagResource
amp:DeleteAlertManagerDefinition	aps:DeleteAlertManagerDefinition
amp:DeleteAnomalyDetector	aps:DeleteAnomalyDetector
amp:DeleteLoggingConfiguration	aps:DeleteLoggingConfiguration
amp:DeleteQueryLoggingConfiguration	aps:DeleteQueryLoggingConfiguration
amp:DeleteResourcePolicy	aps:DeleteResourcePolicy
amp:DeleteRuleGroupsNamespace	aps:DeleteRuleGroupsNamespace
amp:DeleteScraper	aps:DeleteScraper
amp:DeleteScraperLoggingConfiguration	aps:DeleteScraperLoggingConfiguration
amp:DeleteWorkspace	aps:DeleteWorkspace
amp:DescribeAlertManagerDefinition	aps:DescribeAlertManagerDefinition
amp:DescribeAnomalyDetector	aps:DescribeAnomalyDetector
amp:DescribeLoggingConfiguration	aps:DescribeLoggingConfiguration
amp:DescribeQueryLoggingConfiguration	aps:DescribeQueryLoggingConfiguration
amp:DescribeResourcePolicy	aps:DescribeResourcePolicy
amp:DescribeRuleGroupsNamespace	aps:DescribeRuleGroupsNamespace
amp:DescribeScraper	aps:DescribeScraper
amp:DescribeScraperLoggingConfiguration	aps:DescribeScraperLoggingConfiguration
amp:DescribeWorkspace	aps:DescribeWorkspace
amp:DescribeWorkspaceConfiguration	aps:DescribeWorkspaceConfiguration
amp:GetDefaultScraperConfiguration	aps:GetDefaultScraperConfiguration
amp:ListAnomalyDetectors	aps:ListAnomalyDetectors
amp:ListRuleGroupsNamespaces	aps:ListRuleGroupsNamespaces
amp:ListScrapers	aps:ListScrapers
amp:ListTagsForResource	aps:ListTagsForResource
amp:ListWorkspaces	aps:ListWorkspaces
amp:PutAlertManagerDefinition	aps:PutAlertManagerDefinition
amp:PutAnomalyDetector	aps:PutAnomalyDetector
amp:PutResourcePolicy	aps:PutResourcePolicy
amp:PutRuleGroupsNamespace	aps:PutRuleGroupsNamespace
amp:TagResource	aps:TagResource
amp:UntagResource	aps:UntagResource
amp:UpdateLoggingConfiguration	aps:UpdateLoggingConfiguration
amp:UpdateQueryLoggingConfiguration	aps:UpdateQueryLoggingConfiguration
amp:UpdateScraper	aps:UpdateScraper,iam:PassRole
amp:UpdateScraperLoggingConfiguration	aps:UpdateScraperLoggingConfiguration
amp:UpdateWorkspaceAlias	aps:UpdateWorkspaceAlias
amp:UpdateWorkspaceConfiguration	aps:UpdateWorkspaceConfiguration
amplify:CreateApp	amplify:CreateApp,amplify:TagResource,iam:PassRole
amplify:CreateBackendEnvironment	amplify:CreateBackendEnvironment
amplify:CreateBranch	amplify:CreateBranch,amplify:TagResource,iam:PassRole
amplify:CreateDeployment	amplify:CreateDeployment
amplify:CreateDomainAssociation	amplify:CreateDomainAssociation,iam:PassRole
amplify:CreateWebhook	amplify:CreateWebHook
amplify:DeleteApp	amplify:DeleteApp
amplify:DeleteBackendEnvironment	amplify:DeleteBackendEnvironment
amplify:DeleteBranch	amplify:DeleteBranch
amplify:DeleteDomainAssociation	amplify:DeleteDomainAssociation
amplify:DeleteJob	amplify:DeleteJob
amplify:DeleteWebhook	amplify:DeleteWebHook
amplify:GenerateAccessLogs	amplify:GenerateAccessLogs
amplify:GetApp	amplify:GetApp
amplify:GetArtifactUrl	amplify:GetArtifactUrl
amplify:GetBackendEnvironment	amplify:GetBackendEnvironment
amplify:GetBranch	amplify:GetBranch
amplify:GetDomainAssociation	amplify:GetDomainAssociation
amplify:GetJob	amplify:GetJob
amplify:GetWebhook	amplify:GetWebHook
amplify:ListApps	amplify:ListApps
amplify:ListArtifacts	amplify:ListArtifacts
amplify:ListBackendEnvironments	amplify:ListBackendEnvironments
amplify:ListBranches	amplify:ListBranches
amplify:ListDomainAssociations	amplify:ListDomainAssociations
amplify:ListJobs	amplify:ListJobs
amplify:ListTagsForResource	amplify:ListTagsForResource
amplify:ListWebhooks	amplify:ListWebHooks
amplify:StartDeployment	amplify:StartDeployment
amplify:StartJob	amplify:StartJob
amplify:StopJob	amplify:StopJob
amplify:TagResource	amplify:TagResource
amplify:UntagResource	amplify:UntagResource
amplify:UpdateApp	amplify:UpdateApp,iam:PassRole
amplify:UpdateBranch	amplify:UpdateBranch,iam:PassRole
amplify:UpdateDomainAssociation	amplify:UpdateDomainAssociation,iam:PassRole
amplify:UpdateWebhook	amplify:UpdateWebHook
amplifybackend:CloneBackend	amplifybackend:CloneBackend
amplifybackend:CreateBackend	amplifybackend:CreateBackend
amplifybackend:CreateBackendAPI	amplifybackend:CreateBackendAPI
amplifybackend:CreateBackendAuth	amplifybackend:CreateBackendAuth
amplifybackend:CreateBackendConfig	amplifybackend:CreateBackendConfig
amplifybackend:CreateBackendStorage	amplifybackend:CreateBackendStorage
amplifybackend:CreateToken	amplifybackend:CreateToken
amplifybackend:DeleteBackend	amplifybackend:DeleteBackend
amplifybackend:DeleteBackendAPI	amplifybackend:DeleteBackendAPI
amplifybackend:DeleteBackendAuth	amplifybackend:DeleteBackendAuth
amplifybackend:DeleteBackendStorage	amplifybackend:DeleteBackendStorage
amplifybackend:DeleteToken	amplifybackend:DeleteToken
amplifybackend:GenerateBackendAPIModels	amplifybackend:GenerateBackendAPIModels
amplifybackend:GetBackend	amplifybackend:GetBackend
amplifybackend:GetBackendAPI	amplifybackend:GetBackendAPI
amplifybackend:GetBackendAPIModels	amplifybackend:GetBackendAPIModels
amplifybackend:GetBackendAuth	amplifybackend:GetBackendAuth
amplifybackend:GetBackendJob	amplifybackend:GetBackendJob
amplifybackend:GetBackendStorage	amplifybackend:GetBackendStorage
amplifybackend:GetToken	amplifybackend:GetToken
amplifybackend:ImportBackendAuth	amplifybackend:ImportBackendAuth
amplifybackend:ImportBackendStorage	amplifybackend:ImportBackendStorage
amplifybackend:ListBackendJobs	amplifybackend:ListBackendJobs
amplifybackend:ListS3Buckets	amplifybackend:ListS3Buckets
amplifybackend:RemoveAllBackends	amplifybackend:RemoveAllBackends
amplifybackend:RemoveBackendConfig	amplifybackend:RemoveBackendConfig
amplifybackend:UpdateBackendAPI	amplifybackend:UpdateBackendAPI
amplifybackend:UpdateBackendAuth	amplifybackend:UpdateBackendAuth
amplifybackend:UpdateBackendConfig	amplifybackend:UpdateBackendConfig
amplifybackend:UpdateBackendJob	amplifybackend:UpdateBackendJob
amplifybackend:UpdateBackendStorage	amplifybackend:UpdateBackendStorage
amplifyuibuilder:CreateComponent	amplifyuibuilder:CreateComponent,amplifyuibuilder:TagResource
amplifyuibuilder:CreateForm	amplifyuibuilder:CreateForm,amplifyuibuilder:TagResource
amplifyuibuilder:CreateTheme	amplifyuibuilder:CreateTheme,amplifyuibuilder:TagResource
amplifyuibuilder:DeleteComponent	amplifyuibuilder:DeleteComponent
amplifyuibuilder:DeleteForm	amplifyuibuilder:DeleteForm
amplifyuibuilder:DeleteTheme	amplifyuibuilder:DeleteTheme
amplifyuibuilder:ExchangeCodeForToken	amplifyuibuilder:ExchangeCodeForToken
amplifyuibuilder:ExportComponents	amplifyuibuilder:ExportComponents
amplifyuibuilder:ExportForms	amplifyuibuilder:ExportForms
amplifyuibuilder:ExportThemes	amplifyuibuilder:ExportThemes
amplifyuibuilder:GetCodegenJob	amplifyuibuilder:GetCodegenJob
amplifyuibuilder:GetComponent	amplifyuibuilder:GetComponent
amplifyuibuilder:GetForm	amplifyuibuilder:GetForm
amplifyuibuilder:GetMetadata	amplifyuibuilder:GetMetadata
amplifyuibuilder:GetTheme	amplifyuibuilder:GetTheme
amplifyuibuilder:ListCodegenJobs	amplifyuibuilder:ListCodegenJobs
amplifyuibuilder:ListComponents	amplifyuibuilder:ListComponents
amplifyuibuilder:ListForms	amplifyuibuilder:ListForms
amplifyuibuilder:ListTagsForResource	amplifyuibuilder:ListTagsForResource
amplifyuibuilder:ListThemes	amplifyuibuilder:ListThemes
amplifyuibuilder:PutMetadataFlag	amplifyuibuilder:PutMetadataFlag
amplifyuibuilder:RefreshToken	amplifyuibuilder:RefreshToken
amplifyuibuilder:StartCodegenJob	amplifyuibuilder:StartCodegenJob
amplifyuibuilder:TagResource	amplifyuibuilder:TagResource
amplifyuibuilder:UntagResource	amplifyuibuilder:UntagResource
amplifyuibuilder:UpdateComponent	amplifyuibuilder:UpdateComponent
amplifyuibuilder:UpdateForm	amplifyuibuilder:UpdateForm
amplifyuibuilder:UpdateTheme	amplifyuibuilder:UpdateTheme
aoss:BatchGetCollection	aoss:BatchGetCollection
aoss:BatchGetCollectionGroup	aoss:BatchGetCollectionGroup
aoss:BatchGetEffectiveLifecyclePolicy	aoss:BatchGetEffectiveLifecyclePolicy
aoss:BatchGetLifecyclePolicy	aoss:BatchGetLifecyclePolicy
aoss:BatchGetVpcEndpoint	aoss:BatchGetVpcEndpoint
aoss:CreateAccessPolicy	aoss:CreateAccessPolicy
aoss:CreateCollection	aoss:AddCollectionToCollectionGroup,aoss:CreateCollection,aoss:TagResource
aoss:CreateCollectionGroup	aoss:CreateCollectionGroup,aoss:TagResource
aoss:CreateIndex	aoss:CreateIndex
aoss:CreateLifecyclePolicy	aoss:CreateLifecyclePolicy
aoss:CreateSecurityConfig	aoss:CreateSecurityConfig
aoss:CreateSecurityPolicy	aoss:CreateSecurityPolicy
aoss:CreateVpcEndpoint	aoss:CreateVpcEndpoint
